datetime,date,hour,total emojis,average emojis,total score,average scores,average body length
2013-02-13T02,2013-02-13,02,7075,1.6268107610945044,21286,4.894458496206024,182.63623821568177
2013-02-27T23,2013-02-27,23,3747,1.7436016751977663,14063,6.543973941368078,159.09725453699394
2013-02-24T11,2013-02-24,11,5786,1.4033470773708465,19499,4.7293233082706765,154.46543778801842
2013-02-22T20,2013-02-22,20,3213,1.53585086042065,10690,5.109942638623327,174.1826003824092
2013-02-07T08,2013-02-07,08,8228,1.2502659170338855,34657,5.266220939067011,168.2827837714633
2013-02-15T13,2013-02-15,13,7927,1.6082369649016028,28542,5.790626902008521,138.97545141002232
2013-02-20T13,2013-02-20,13,7522,1.3134276235376288,26183,4.571852627902916,146.3607473371748
2013-02-22T01,2013-02-22,01,6981,1.749185667752443,28704,7.192182410423452,176.30869456276622
2013-02-26T05,2013-02-26,05,8508,1.6317606444188724,33117,6.351553509781358,177.8486766398159
2013-02-26T11,2013-02-26,11,6610,1.229081442915582,29702,5.52287095574563,154.23614726664186
2013-02-11T13,2013-02-11,13,5860,1.0701241782322863,36231,6.616325785244705,139.50785244704164
2013-02-12T04,2013-02-12,04,7630,1.35427760028399,33355,5.920305289314874,168.05892793752218
2013-02-09T10,2013-02-09,10,7123,1.4424868367760226,25177,5.098622924260835,148.64074524098825
2013-02-27T17,2013-02-27,17,6409,1.768,16174,4.461793103448276,164.50648275862068
2013-02-20T17,2013-02-20,17,6627,1.6974897540983607,17066,4.371413934426229,161.45184426229508
2013-02-06T22,2013-02-06,22,2226,1.4115409004438808,5732,3.634749524413443,168.42675967026
2013-02-20T14,2013-02-20,14,7661,1.3274995667995149,31996,5.54427308958586,151.2145208802634
2013-02-09T11,2013-02-09,11,6217,1.2930532445923462,24754,5.148502495840266,146.92928452579034
2013-02-14T07,2013-02-14,07,10216,1.6520051746442432,42423,6.860122897800776,172.1963130659767
2013-02-23T07,2013-02-23,07,8029,1.4266169154228856,28897,5.134506041222459,171.39001421464107
2013-02-25T07,2013-02-25,07,7985,1.6433422514920766,28368,5.838238320642107,167.00082321465322
2013-02-25T00,2013-02-25,00,3203,1.6587260486794406,12872,6.665976178146038,158.20818228896945
2013-02-24T22,2013-02-24,22,2975,1.9218346253229974,7044,4.550387596899225,162.50064599483204
2013-02-08T03,2013-02-08,03,8866,1.6718838393362248,28565,5.386573637563643,183.80709032623042
2013-02-12T12,2013-02-12,12,6976,1.3423128728112372,22254,4.282085818741582,155.12526457571676
2013-02-06T12,2013-02-06,12,6609,1.218698137562235,23859,4.399594320486815,153.92771528674166
2013-02-02T13,2013-02-02,13,5149,1.2573870573870574,18443,4.503785103785104,141.78974358974358
2013-02-18T17,2013-02-18,17,13645,3.7620623104494073,17325,4.776674937965261,161.90681003584228
2013-02-20T09,2013-02-20,09,7680,1.3296398891966759,37244,6.448060941828255,164.0538434903047
2013-02-12T15,2013-02-12,15,8262,1.6027158098933074,27596,5.353249272550921,155.65509214354995
2013-02-15T14,2013-02-15,14,7000,1.392757660167131,23398,4.655391961798647,144.04536410664545
2013-02-23T04,2013-02-23,04,7404,1.3202567760342367,40120,7.154065620542083,177.6009272467903
2013-02-16T13,2013-02-16,13,5093,1.230193236714976,20230,4.886473429951691,147.65869565217392
2013-02-27T09,2013-02-27,09,8837,1.482469384331488,43766,7.342056701895655,177.1298439859084
2013-02-10T05,2013-02-10,05,6313,1.3512414383561644,27785,5.947131849315069,156.04088184931507
2013-02-07T14,2013-02-07,14,8000,1.4370396982216633,38448,6.906412789653314,153.09161128076164
2013-02-11T21,2013-02-11,21,2481,1.5230202578268877,5511,3.3830570902394106,173.04051565377532
